cell,family,symbol,plus_in,n_in,rate_in,p_binom,mean_m_in_pct,cum_in_pct,worst_m_in_pct,plus_oos,n_oos,cum_oos_pct,sig_bonf,sig_005
Monx3 NZDJPY,Monx3,NZDJPY,28,48,58,0.15616340373663462,0.4,19.7,-7.18,7,12,6.4,False,False
MonSx3 USDCHF,MonSx3,USDCHF,28,48,58,0.15616340373663462,0.38,19.4,-3.51,5,12,0.04,False,False
Frix3 NZDJPY,Frix3,NZDJPY,28,48,58,0.15616340373663462,0.38,18.6,-4.96,7,12,5.84,False,False
WedSx3 EURCHF,WedSx3,EURCHF,28,48,58,0.15616340373663462,0.38,19.4,-1.86,8,12,3.58,False,False
TueSx2 AUDCHF,TueSx2,AUDCHF,28,48,58,0.15616340373663462,0.37,18.4,-3.64,3,12,-5.49,False,False
FriS HK50,FriS,HK50,28,48,58,0.15616340373663462,0.37,16.2,-7.42,6,12,10.55,False,False
ThuSx2 NZDJPY,ThuSx2,NZDJPY,28,48,58,0.15616340373663462,0.34,16.5,-5.43,6,12,4.9,False,False
Frix2 AUDJPY,Frix2,AUDJPY,28,48,58,0.15616340373663462,0.33,16.1,-3.65,7,12,7.53,False,False
Frix3 GER40,Frix3,GER40,28,48,58,0.15616340373663462,0.33,14.0,-7.9,7,12,5.53,False,False
FriS US2000,FriS,US2000,28,48,58,0.15616340373663462,0.32,15.8,-4.36,6,12,2.44,False,False
FriSx2 AUS200,FriSx2,AUS200,28,48,58,0.15616340373663462,0.32,15.7,-2.92,9,12,10.12,False,False
WedSx3 NZDCAD,WedSx3,NZDCAD,28,48,58,0.15616340373663462,0.31,15.4,-5.36,8,12,3.48,False,False
ThuSx2 NZDCAD,ThuSx2,NZDCAD,28,48,58,0.15616340373663462,0.3,14.8,-2.4,8,12,3.76,False,False
Frix2 NZDJPY,Frix2,NZDJPY,28,48,58,0.15616340373663462,0.27,12.6,-2.97,7,12,4.48,False,False
WedSx2 EURCHF,WedSx2,EURCHF,28,48,58,0.15616340373663462,0.27,13.4,-1.59,8,12,2.34,False,False
FriS GBPCHF,FriS,GBPCHF,28,48,58,0.15616340373663462,0.27,13.8,-1.61,6,12,0.92,False,False
ThuS NZDJPY,ThuS,NZDJPY,28,48,58,0.15616340373663462,0.26,12.6,-2.67,7,12,4.68,False,False
Monx2 XAUUSD,Monx2,XAUUSD,28,48,58,0.15616340373663462,0.26,11.8,-4.39,7,11,12.16,False,False
Thux3 AUDJPY,Thux3,AUDJPY,28,48,58,0.15616340373663462,0.24,10.8,-3.91,7,12,1.94,False,False
